vdom,name,type,startip,endip
InternalFW,MIP_172.21.206.97,one-to-one,172.21.206.97,172.21.206.97
InternalFW,MIP_172.21.206.102,one-to-one,172.21.206.102,172.21.206.102
InternalFW,dip-5,,192.168.72.33,192.168.72.62
InternalFW,192.168.72.1--192.168.10.187,one-to-one,192.168.72.1,192.168.72.1
InternalFW,192.168.72.2--192.168.10.182,one-to-one,192.168.72.2,192.168.72.2
InternalFW,dip-4,,202.130.114.231,202.130.114.233
InternalFW,dip-6,,202.130.114.249,202.130.114.249
InternalFW,172.21.206.6--192.168.75.27,one-to-one,172.21.206.6,172.21.206.6
InternalFW,172.21.206.7--192.168.75.4,one-to-one,172.21.206.7,172.21.206.7
InternalFW,172.21.206.8--192.168.11.168,one-to-one,172.21.206.8,172.21.206.8
InternalFW,172.21.206.9--192.168.75.23,one-to-one,172.21.206.9,172.21.206.9
InternalFW,172.21.206.10--192.168.10.128,one-to-one,172.21.206.10,172.21.206.10
InternalFW,172.21.206.12--192.168.10.162,one-to-one,172.21.206.12,172.21.206.12
InternalFW,172.21.206.2--192.168.10.22,one-to-one,172.21.206.2,172.21.206.2
InternalFW,172.21.206.3--192.168.30.22,one-to-one,172.21.206.3,172.21.206.3
InternalFW,172.30.193.33--192.168.100.34,,172.30.193.33,172.30.193.33
InternalFW,172.22.93.33--192.168.100.34,,172.22.93.33,172.22.93.33
InternalFW,202.130.114.235--192.168.10.132,,202.130.114.235,202.130.114.235
InternalFW,202.130.114.247--192.168.15.220,one-to-one,202.130.114.247,202.130.114.247
InternalFW,172.21.206.11--192.168.10.128,one-to-one,172.21.206.11,172.21.206.11
