vdom,name,uuid,extip,extintf,mappedip
CT901CASH1,Dstnat_10.1.93.238-10.163.211.201,edac2f12-240c-51e8-a54d-2badc24df4db,10.1.93.238,any,10.163.211.201
CT901CASH1,Dstnat_10.1.93.239-10.163.211.202,edb80760-240c-51e8-e106-17ce0fe49051,10.1.93.239,any,10.163.211.202
CT901CASH1,Dstnat_10.1.145.238-10.163.211.211,9c3ad782-2e88-51e9-2993-987e7230fbdb,10.1.145.238,any,10.163.211.211
CT901CASH1,Dstnat_10.1.145.239-10.163.211.212,9c44a9ba-2e88-51e9-9c3d-909020d4fc7d,10.1.145.239,any,10.163.211.212
CT901HSN,Dstnat_10.1.93.238-10.163.211.201,667bab1a-240e-51e8-cd42-1f88d6ebf892,10.1.93.238,any,10.163.211.201
CT901HSN,Dstnat_10.1.93.239-10.163.211.202,668b21da-240e-51e8-3b82-29832b564d26,10.1.93.239,any,10.163.211.202
CT901HSN,Dstnat_10.1.93.121-10.241.50.21,f181aca8-5ca5-51e8-efab-6ffb7912cae0,10.1.93.121,any,10.241.50.21
CT901HSN,Dstnat_10.1.93.122-10.241.50.22,f18d90b8-5ca5-51e8-7dc2-05e78376fbd5,10.1.93.122,any,10.241.50.22
CT901HSN,Dstnat_10.1.145.238-10.163.211.211,32755d9a-2e88-51e9-1100-9f4251584552,10.1.145.238,any,10.163.211.211
CT901HSN,Dstnat_10.1.145.239-10.163.211.212,3280a880-2e88-51e9-5104-a603ac3533b7,10.1.145.239,any,10.163.211.212
