vdom,name,uuid,member
DTH1COMM,NetGp_TIME_SERVER,6a985f76-ca7a-51ea-2ba7-31a41bd3a761,range_10.164.1.200-201 range_10.164.129.200-201
DTH1HKATS1,NetGp_BMC_SERVER,94fcda06-9453-51ea-0652-3174a5aed816,range_10.244.64.68-70 range_10.248.64.68-70
DTH1HKATS1,NetGp_TIME_SERVER,6aff47ec-9454-51ea-cd86-ffbf2b29fdf0,range_10.164.1.200-201 range_10.164.129.200-201
DTH1HKATS1,NetGp_AD,4a5b0696-945b-51ea-3def-8193bbb24adf,host_10.245.95.100 host_10.245.95.102 host_10.245.95.111 host_10.249.95.102 range_10.244.192.88-90 range_10.248.192.88-90 range_10.249.95.99-100
DTH1HKATS1,NetGp_WIN_JUMPNODE,751a9b4e-945b-51ea-7c6e-0f3182f14e4f,host_10.249.132.60 host_10.244.64.77 host_10.245.132.39 host_10.245.132.51 host_10.248.64.77 host_10.249.132.58 net_10.248.95.0
DTH1HKATS1,NetGp_SCOM,8a09d8e4-945b-51ea-1a91-a18d5dcfaaf1,host_10.245.79.24 host_10.249.79.24
DTH1HKATS1,NetGp_SCCM,9bed30c4-945b-51ea-f9b3-2241ceb61055,host_10.245.95.19 host_10.249.79.19 range_10.245.79.19-20
DTH1HKATS1,NetGp_TRENDMICRO,a82f93b8-945b-51ea-b0a3-21fa46f7be1a,host_10.245.127.67 host_10.249.127.51
DTH1HKATS1,NetGp_CCI_CO_JUMPNODE,c058fba0-945b-51ea-1c45-3bef7b1aafc8,host_10.249.132.59 range_10.245.127.38-46 range_10.245.132.73-75 range_10.249.127.35-44 range_10.249.132.49-50
DTH1HKATS1,NetGp_CO_JUMPNODE,cdc76a7e-945b-51ea-df36-108eadfd0cc7,host_10.63.142.130 host_10.63.142.133 range_10.163.142.23-24
DTH1TBP,NetGp_BMC_SERVER,da6fe9a8-9678-51ea-cbcb-fdf077a2550c,range_10.244.64.68-70 range_10.248.64.68-70
DTH1TBP,NetGp_TIME_SERVER,da7e810c-9678-51ea-4732-0cc0d271417c,range_10.164.1.200-201 range_10.164.129.200-201
DTH1TBP,NetGp_AD,da886bd6-9678-51ea-55ea-151c31c8089d,host_10.245.95.100 host_10.245.95.102 host_10.245.95.111 host_10.249.95.102 range_10.244.192.88-90 range_10.248.192.88-90 range_10.249.95.99-100
DTH1TBP,NetGp_WIN_JUMPNODE,da9282ce-9678-51ea-6ba5-2f0dadedbd74,host_10.249.132.60 host_10.244.64.77 host_10.245.132.39 host_10.245.132.51 host_10.248.64.77 host_10.249.132.58 net_10.248.95.0
DTH1TBP,NetGp_SCOM,da9ad00a-9678-51ea-642e-87341c20dd25,host_10.245.79.24 host_10.249.79.24
DTH1TBP,NetGp_SCCM,daa47e20-9678-51ea-c596-31e54f7a3c1f,host_10.245.95.19 host_10.249.79.19 range_10.245.79.19-20
DTH1TBP,NetGp_TRENDMICRO,daaef486-9678-51ea-4f6d-c57f9bd5a96a,host_10.245.127.67 host_10.249.127.51
DTH1TBP,NetGp_CCI_CO_JUMPNODE,dab7db5a-9678-51ea-1dc6-1181629413dd,host_10.249.132.59 range_10.245.127.38-46 range_10.245.132.73-75 range_10.249.127.35-44 range_10.249.132.49-50
DTH1TBP,NetGp_CO_JUMPNODE,dac206ac-9678-51ea-1107-7f5302bec054,host_10.63.142.130 host_10.63.142.133 range_10.163.142.23-24
